Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in minutes,Duration in timestamp,Duration,Uploaded Time,Video url,Tags,Tags (in description),Emails (in description),Links (in description)
Print Function in Python | 100 Days of Python Programming,"In this video, we'll explore the ins and outs of printing in Python. From basic syntax to advanced formatting tricks, join us on a journey to master the art of displaying information in your Python scripts.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day1-print-data-types-and-comments

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/u1RKh1kQqaE/maxresdefault.jpg,CampusX,479789,4716,124,424,7.07,7:04,"7 Minutes, 4 Seconds",2021-06-11T10:07:21,https://www.youtube.com/watch?v=u1RKh1kQqaE,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day1-print-data-types-and-comments, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
Data Types in Python | 100 Days of Python Programming,"In this video, we'll break down the fundamental building blocks that store and represent information. From numbers and strings to lists and dictionaries, join us on a journey to understand how Python handles different types of data.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day1-print-data-types-and-comments

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/NQ0JI5IKggI/maxresdefault.jpg,CampusX,127018,1736,40,479,7.98,7:59,"7 Minutes, 59 Seconds",2021-06-12T12:30:04,https://www.youtube.com/watch?v=NQ0JI5IKggI,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day1-print-data-types-and-comments, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
Comments in Python | 100 Days of Python Programming,"In this video, we'll guide you through the significance of comments and their impact on code readability. From single-line comments to multi-line explanations, join us as we explore how comments play a crucial role in conveying your thoughts and enhancing collaboration in Python programming.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day1-print-data-types-and-comments

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/JAigPIhUIM8/maxresdefault.jpg,CampusX,77086,984,24,188,3.13,3:08,"3 Minutes, 8 Seconds",2021-06-14T12:30:03,https://www.youtube.com/watch?v=JAigPIhUIM8,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building, #Python programming]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day1-print-data-types-and-comments, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
Variables in Python | Dynamic Typing | Dynamic Binding in Python,"In this video, we'll unravel the concepts of dynamic typing and dynamic binding, exploring how Python manages and adapts variables during runtime.

Code : https://github.com/campusx-official/100-days-of-python-programming/tree/main/day2-variables-keywords-and-identifiers

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/_pNx8uEmHI0/maxresdefault.jpg,CampusX,90808,1606,33,617,10.28,10:17,"10 Minutes, 17 Seconds",2021-06-15T12:30:12,https://www.youtube.com/watch?v=_pNx8uEmHI0,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day2-variables-keywords-and-identifiers]"
Keywords and Identifiers in Python,"Let's uncover the ABCs of Python coding with this video on keywords and identifiers. Learn the fundamental building blocks that make up Python's vocabulary, including reserved keywords and user-defined identifiers.

Code : https://github.com/campusx-official/100-days-of-python-programming/tree/main/day2-variables-keywords-and-identifiers

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/QmSL27U7RDc/maxresdefault.jpg,CampusX,80004,1288,25,507,8.45,8:27,"8 Minutes, 27 Seconds",2021-06-16T12:30:12,https://www.youtube.com/watch?v=QmSL27U7RDc,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day2-variables-keywords-and-identifiers]"
Taking user input in Python | The input function,"The input() Function: Dive into the interactive side of Python with this video on taking user input. We'll explore the 'input()' function, understanding the process of gathering information directly from users.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day5-user-input-and-type-conversion

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/15sdH57DtsU/maxresdefault.jpg,CampusX,75439,1186,34,625,10.42,10:25,"10 Minutes, 25 Seconds",2021-06-17T12:30:00,https://www.youtube.com/watch?v=15sdH57DtsU,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day5-user-input-and-type-conversion]"
Type Conversion in Python,"Discover how to seamlessly convert one data type to another, allowing flexibility in your code. Join us on this journey to understand the importance of type conversion and its practical applications in Python programming.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day5-user-input-and-type-conversion

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/YjLFP8pW764/maxresdefault.jpg,CampusX,69081,1056,21,504,8.4,8:24,"8 Minutes, 24 Seconds",2021-06-18T12:30:19,https://www.youtube.com/watch?v=YjLFP8pW764,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day5-user-input-and-type-conversion]"
Literals in Python | 100 Days of Python Programming,"In this video, learn about different types of literals, from numeric and string literals to Boolean and special literals.

Code: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day6-literals-and-operators

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/u6UpEKy_ocM/maxresdefault.jpg,CampusX,83365,1431,21,589,9.82,9:49,"9 Minutes, 49 Seconds",2021-06-19T12:30:12,https://www.youtube.com/watch?v=u6UpEKy_ocM,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day6-literals-and-operators, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
Operators in Python | 100 Days of Python Programming,"We'll cover the various types of operators, from arithmetic and comparison to logical and assignment operators. Join us on this coding adventure to understand how operators enable you to perform diverse operations, making your Python programs dynamic and powerful.

Code : https://github.com/campusx-official/100-days-of-python-programming/tree/main/day6-literals-and-operators

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/cPmiugHYvSI/maxresdefault.jpg,CampusX,66571,1174,29,931,15.52,15:31,"15 Minutes, 31 Seconds",2021-06-21T12:30:06,https://www.youtube.com/watch?v=cPmiugHYvSI,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day6-literals-and-operators, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official]"
If-else Statements in Python | Nested If-else | Day 7 | 100 Days of Python Programming,"If-else Statements in Python | Nested If-else: Master the art of decision-making in Python with this video on if-else statements, including nested if-else structures. We'll guide you through the syntax and usage of these fundamental control flow statements. 

Code : https://github.com/campusx-official/100-days-of-python-programming/tree/main/day7-control-statements

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/EHxqc8Vy3H8/maxresdefault.jpg,CampusX,66481,1203,28,802,13.37,13:22,"13 Minutes, 22 Seconds",2021-06-23T12:30:02,https://www.youtube.com/watch?v=EHxqc8Vy3H8,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day7-control-statements, https://www.instagram.com/campusx.official]"
